Location;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Österreich;50,3;50,9;51,2;51,7;50,8;50,8;50,2;49,7;49,3;49,7;49,6;49,2;48,2;47,8;48,1;48,5;48,8;47,9
Burgenland;76,1;78,2;78,1;75,8;75,9;75,1;73,8;71,8;74,4;74,8;73,2;72,0;70,9;72,2;72,1;69,1;68,0;68,5
Kärnten;55,2;57,1;57,7;58,8;55,5;57,4;56,2;55,5;55,8;56,0;58,7;58,9;54,9;55,6;56,8;57,2;57,3;54,5
Niederösterreich;65,8;67,4;67,0;66,4;66,5;66,9;65,9;64,4;64,1;63,8;63,6;63,8;62,3;62,0;62,0;62,8;63,7;62,7
Oberösterreich;54,1;53,5;54,3;54,8;53,2;52,8;52,1;52,6;52,7;53,0;52,4;53,6;53,4;51,3;52,1;53,0;51,6;51,5
Salzburg;55,5;55,1;54,2;54,0;54,5;54,7;54,9;53,8;53,1;54,9;52,8;52,3;51,6;51,7;52,0;51,6;51,5;51,2
Steiermark;59,6;60,6;61,2;62,8;61,5;60,6;58,9;58,7;59,4;60,3;58,8;57,9;56,8;55,5;56,0;58,3;57,9;56,7
Tirol;57,0;57,3;57,1;59,7;58,8;59,0;57,6;57,2;55,4;57,0;57,1;56,6;53,5;53,8;53,4;51,8;54,0;53,0
Voralberg;61,0;61,1;62,2;63,3;61,5;62,0;62,4;61,5;60,0;60,7;60,5;60,6;58,8;58,4;57,5;58,0;55,9;55,8
Wien;19,3;19,4;20,3;20,2;19,5;19,4;19,7;19,7;18,5;18,5;19,8;18,0;18,9;19,1;19,4;18,8;20,4;19,3
